Date,New York State Average ($/gal),Albany Average ($/gal),Batavia Average ($/gal),Binghamton Average ($/gal),Buffalo Average ($/gal),Dutchess Average ($/gal),Elmira Average ($/gal),Glens Falls Average ($/gal),Ithaca Average ($/gal),Kingston Average ($/gal),Nassau Average ($/gal),New York City Average ($/gal),Rochester Average ($/gal),Syracuse Average ($/gal),Utica Average ($/gal),Watertown Average ($/gal),White Plains Average ($/gal),East Coast Production of Gasoline (Thousand Barrels per Day),East Coast Production of Jet Fuel (Thousand Barrels per Day),U.S. Production of Gasoline (Thousand Barrels per Day),U.S. Gasoline Demand (Thousand Barrels per Day),U.S. Production of Jet Fuel (Thousand Barrels per Day),NY Conventional Gasoline Spot Price ($/gal),NY Ultra-Low Sulfur Diesel Spot Price ($/gal),WTI Crude Oil Spot Price ($/barrel),Brent Crude Oil Spot Price ($/barrel),Mid-Atlantic ULS Diesel Stocks (Thousand Barrels),Mid-Atlantic Gasoline Stocks (Thousand Barrels),East Coast Gasoline Stocks (Thousand Barrels),East Coast Ethanol Stocks  (Thousand Barrels),East Coast Jet Fuels Stocks (Thousand Barrels),U.S. Gasoline Stocks (Thousand Barrels),U.S. Crude Oil Stocks (Thousand Barrels),New York State Average ($/gal)Diesel,Albany Average ($/gal)Diesel,Batavia Average ($/gal)Diesel,Binghamton Average ($/gal)Diesel,Buffalo Average ($/gal)Diesel,Dutchess Average ($/gal)Diesel,Elmira Average ($/gal)Diesel,Glens Falls Average ($/gal)Diesel,Ithaca Average ($/gal)Diesel,Kingston Average ($/gal)Diesel,Nassau Average ($/gal)Diesel,New York City Average ($/gal)Diesel,Rochester Average ($/gal)Diesel,Syracuse Average ($/gal)Diesel,Utica Average ($/gal)Diesel,Watertown Average ($/gal)Diesel,White Plains Average ($/gal)Diesel
2017-08-13,-0.19339435404339325,-0.20751725838264296,-0.2016069667511977,-0.18976159657650082,-0.23085336538461526,-0.19197388348830655,-0.20055592244294185,-0.1925570583262886,-0.20907900993237571,-0.16008915363482634,-0.15906681459566152,-0.18956796808960255,-0.19498789271625844,-0.18514563961679387,-0.22411828155818553,-0.23484942941673742,-0.18819689525218405,-71.61552109749269,-10.214554275852347,61.08055085939549,187.75769582980905,15.479628944772927,-0.21452860841082005,-0.08347496653987035,-6.0844471594110985,-7.173847562693717,227.13219392786414,1501.9084909481537,1066.2927629261676,211.33918005071754,-1468.4114099041994,-673.2354448436633,-3186.299846787879,-0.06880133488306525,-0.08470378979994363,-0.04953939489997203,-0.0790449334319537,-0.12279779515356468,-0.09187227035784702,-0.04474380987602173,-0.039875845308538035,-0.098604976754015,-0.04665482354184263,-0.06148901979430795,-0.07350869082840171,-0.09260077662721877,-0.09816929064525211,-0.11194205233868694,-0.1512938063539031,-0.09167586820231086
2017-08-20,-0.1908256727247118,-0.20968758805297316,-0.21299432938855956,-0.19366269547759893,-0.2300154532967033,-0.19612223513665833,-0.20444328508030474,-0.21119716821639886,-0.20852955938292522,-0.1627265162721898,-0.15539923217807922,-0.183084451606086,-0.18258404656241167,-0.1870137714849257,-0.21689300683291116,-0.24053624260355078,-0.18068315898844717,-55.62376285573373,3.6219841856861166,-331.4290645252203,-258.18186460975056,-35.502513912369835,-0.19341597104818242,-0.08918925225415592,-5.020147708861648,-5.361484925331075,264.97560052126937,1032.8384360031016,2202.059246442654,-352.3325232459864,-1728.1875088052986,1233.0241705409653,-11429.081440194444,-0.07351287334460413,-0.06646203155818556,-0.054924010284587765,-0.07841306530008463,-0.11261922372499286,-0.07915249013806736,-0.033191612073824234,-0.040191779374472034,-0.08337146027049916,-0.0483443839814037,-0.06040385495914354,-0.0639757237954347,-0.06492220519864778,-0.08241379613975794,-0.09900249189912684,-0.12125259756269369,-0.08486268138912416
2017-08-27,-0.17829820019723924,-0.2074485770639613,-0.19461520850943914,-0.178964893279797,-0.18798248626373676,-0.18020190546632844,-0.19238284551986523,-0.22243343195266313,-0.19509549344885924,-0.15953970308537652,-0.14577011129895795,-0.1750212647928996,-0.17177360700197214,-0.18296157368272806,-0.21532707276697705,-0.22049503381234223,-0.1675238183291065,0.6894239574524761,0.17280836151029,252.61351789236227,-41.48406241194698,14.560672900817195,0.3066527102704989,0.3584893191744156,9.047214928500988,9.488872217526056,556.526424697096,1108.4043700690381,1201.2254552338647,-592.7336221470842,-506.57624506903375,1185.1903793321626,-8868.19682480982,-0.06687825795998852,-0.06686038320653682,-0.04198444984502736,-0.06767130705832716,-0.0911906522964217,-0.0835893033248804,-0.019015787898000014,-0.05335112003381225,-0.07273959213863049,-0.03563834002535876,-0.062175832981121996,-0.04596748203719287,-0.05305407333051522,-0.0793094005353626,-0.08871403036066433,-0.08559325690335325,-0.06236268138912445
2017-09-03,-0.16544105734009648,-0.21347879684418225,-0.19766465905889002,-0.16529731086221458,-0.1674192994505499,-0.17546289447731794,-0.18257515321217327,-0.22331255283178428,-0.18848835059171637,-0.15316607671174987,-0.13577011129895866,-0.15945807797971268,-0.16664998062834613,-0.18825003522118938,-0.20918696287686744,-0.21574228655959476,-0.1615073348126241,27.398215166243915,0.4296764933784196,160.92670470554896,47.52143209354551,-6.172843582699471,-0.12445992709213864,-0.11365353796844146,-5.899941664905617,-4.692240419836574,15.044281839952873,1188.7010733657332,1257.3504552338638,-445.46713863060046,-1893.0350362778245,2587.528291420119,-7591.162484150456,-0.06274364257537361,-0.06425049309664732,-0.03170972457030172,-0.07223174661876607,-0.07959724570301505,-0.08360303958861715,-0.017491062623274545,-0.06472474640743961,-0.058797284446322595,-0.048110867497886955,-0.0564890197943092,-0.05213506445477609,-0.05521066673710881,-0.08713907086503281,-0.08084315123978578,-0.08239270745280416,-0.05559070336714655
2017-09-10,-0.06811962876866753,-0.08650077486615998,-0.1139146590588898,-0.06304456360946753,-0.0926802884615393,-0.056342015356439144,-0.08658614222316134,-0.10382079459002606,-0.08723835059171645,-0.030762230557904134,-0.012693188222035127,-0.04515862743026155,-0.07158129930966473,-0.06605223302338767,-0.10573916067906503,-0.12199228655959513,-0.06115019195548097,14.420193188221873,12.726379790081719,-753.3782403493948,-448.85356790645346,-140.962678747535,0.12179007290786137,-0.10929914236404613,-7.668073533037478,-5.767899760495909,-1552.860937940265,928.5293700690358,-967.8500942166863,-918.7322485207106,-1623.617453860244,558.7508188926049,3676.8828455198072,-0.029735400817132163,-0.028536207382361164,-0.022836098196675134,-0.03239658178360105,-0.04639669625246477,-0.04784754508312253,0.015736959354747976,-0.029917054099746848,-0.017300031699070656,-0.00730042793744741,-0.008975283530572573,-0.03113231720202886,-0.024427699704142297,-0.04458412581008736,-0.04419479959143431,-0.04309325690335396,-0.01304949457593682
2017-09-17,0.14641333826429942,0.1234168075514226,0.08818698929275888,0.13769719463229096,0.10054773351648354,0.18265523739081396,0.10528198964497006,0.09046491969568897,0.1341627483093828,0.18334491229923858,0.20763648210763563,0.18776719674556241,0.12363848091011517,0.15201095378979937,0.1191097404198359,0.07195002113271279,0.1592756322203434,-51.39299362496474,0.44753363623554465,-407.57604254719854,-102.37829318118042,-109.586305121161,0.23935875422654249,-0.029395296210200053,-5.966905950619896,-4.52012503522119,-3866.476322555652,-1701.2206299309662,-4885.8033909199785,-506.5165891800508,-1570.7589373767278,-4978.085719568911,11732.40619716819,0.06622613764440677,0.06318082558467154,0.02765840729783002,0.040378143491124514,0.04953736968160016,0.08228981755424106,0.06507761869540765,0.05119558326289145,0.06421095731191896,0.09952649513947599,0.10168405712876835,0.06426603444632241,0.0591299926035501,0.033863676387715015,0.0639920135953787,0.0364946551845588,0.07817303289659061
2017-09-24,0.16530070090166216,0.14632889546351074,0.1317721541279237,0.1499224693575651,0.14237465659340692,0.1872431494787255,0.13715012151310224,0.11678360101437016,0.1613468142434487,0.18631194526627226,0.20953208650324023,0.19801444949281458,0.15492968970132415,0.18158512961397516,0.13401358657368226,0.12597474640743833,0.18974266518737637,-179.75288373485526,16.034072097774015,-74.50049309664941,147.86758593970288,-30.205810615666756,0.12148787510566346,-0.06578265884756263,-5.044021335235278,-3.0044519582981106,-4374.079344533676,-2281.0832672936035,-6381.106962348553,-295.7377430262052,-805.9622340800233,-6891.023906382123,18155.78257079451,0.07810800577627482,0.08528247393632044,0.043949616089038676,0.06765836327134413,0.08404286418709467,0.09117718019160331,0.09893750880529778,0.08697855029585819,0.08188952874049062,0.09074902261200296,0.11256317800789019,0.06853801246830017,0.08429482776838566,0.06250378627782438,0.0880854201887851,0.07345894089884446,0.1079669889405468
2017-10-01,0.15111114046210167,0.14499647788109332,0.13394248379825266,0.13771093089602712,0.13972355769230732,0.17599314947872627,0.12892209953508021,0.1147643702451395,0.1355638472104817,0.1605564507607781,0.18535626232741592,0.18376994399830926,0.15597364574528022,0.14493677796562415,0.13747512503522075,0.12998573541842715,0.17437178606649728,17.071292089321428,-1.639004825302914,-272.1845590307173,241.94588264300026,-18.407733692589886,-0.051300586432798084,-0.0464282632431669,-6.24301858798253,-3.456718441814596,-4093.9570917864203,-3935.658816744154,-4385.001193117779,-554.6141166525787,-764.7479483657371,-6281.815115173342,18605.470757607745,0.08581404973231924,0.08921104536489122,0.05747983586925849,0.0563946270076079,0.07983956748379786,0.10139696041138296,0.07120399232178093,0.06726701183431981,0.0639362320371933,0.08624352810650891,0.08345603515074677,0.05728801246830044,0.08400636622992365,0.06830048957452811,0.08228871689208231,0.07189300683291007,0.09633237355593098
2017-10-08,0.13920179980276084,0.13474922513384074,0.14722545083122002,0.13216148034657632,0.1365504807692309,0.1672431494787258,0.1090457259087063,0.11374788672865577,0.13067373732037194,0.1339080991124265,0.15586450408565755,0.15153093300929835,0.13764946992110433,0.11028018455903037,0.1222003997604963,0.11634562552831765,0.16005859925330987,40.34189648492507,-6.357411418709502,-194.12549309664888,-159.3219744998583,-54.3953710552272,-0.05263300401521567,-0.003763428078331743,-4.795298807762743,-2.2062926176387796,-3548.7153335446624,-3737.7412343265723,-3471.9998194914233,194.32819103973,953.0542494364605,-4715.085719568919,13647.473504860469,0.0776135002817693,0.08326324316708938,0.052273791913214976,0.06756220942519019,0.08982583122006121,0.10278432304874596,0.11016003627782495,0.06343459425190202,0.08400491335587479,0.08864737426035517,0.0768351560298671,0.061450100380388645,0.09238548710904415,0.06964664342068225,0.09936289271625787,0.08141223760214153,0.10030215377571149
2017-10-15,0.1186798217807837,0.1287876866723021,0.14914852775429674,0.1166944473795439,0.1348609203296706,0.15553985277542925,0.11241111052409138,0.11267645815722735,0.1056737373203717,0.10408667054099706,0.1289826359537897,0.1445803835587491,0.10374837102000585,0.057368096646941896,0.09432952063961692,0.10836485629754879,0.1513360717807827,93.18392945195845,19.072533636235555,-288.2381304592851,-58.966205269089556,37.11149707664127,-0.12847091610312805,-0.08769199950690322,-6.115903203367151,-4.8971992110453835,-3358.131542335871,-3675.6931574034943,-3178.02454476614,220.96005917159846,235.51853515074612,-3095.9730822062975,11958.608120245077,0.07645965412792317,0.08010390250774864,0.05128478092420394,0.05971880283178335,0.09700989715412782,0.10553157579599888,0.11024245386024278,0.06811866018596836,0.08226040786136887,0.08473253909552006,0.07572251866723008,0.06533746301775133,0.09800361897717617,0.06652851155254973,0.10198651908988413,0.09650839144829561,0.10990380212735945
